Time (s),USB Avg Current (mA)
1996.0876,28.65
1996.0878,29.443
1996.0880,28.583
1996.0882,29.498
1996.0884,28.859
1996.0886,29.479
1996.0888,28.644
1996.0890,29.436
1996.0892,28.83
1996.0894,28.671
1996.0896,29.518
1996.0898,28.649
1996.0900,29.516
1996.0902,28.872
1996.0904,28.662
1996.0906,29.458
1996.0908,28.689
1996.0910,29.499
1996.0912,28.894
1996.0914,28.68
1996.0916,29.484
1996.0918,28.67
1996.0920,29.478
1996.0922,28.903
1996.0924,28.59
1996.0926,29.45
1996.0928,28.649
1996.0930,29.539
1996.0932,28.836
1996.0934,28.582
1996.0936,29.434
1996.0938,28.572
1996.0940,29.362
1996.0942,28.869
1996.0944,28.692
1996.0946,29.508
1996.0948,28.611
1996.0950,29.521
1996.0952,28.806
1996.0954,28.623
1996.0956,29.533
1996.0958,28.587
1996.0960,29.545
1996.0962,28.812
1996.0964,28.647
1996.0966,29.442
1996.0968,28.578
1996.0970,29.514
1996.0972,28.708
1996.0974,28.602
1996.0976,29.44
1996.0978,28.673
1996.0980,29.59
1996.0982,28.838
1996.0984,28.692
1996.0986,29.49
1996.0988,28.684
1996.0990,29.598
1996.0992,28.812
1996.0994,28.591
1996.0996,29.48
1996.0998,28.543
1996.1000,29.616
1996.1002,28.729
1996.1004,28.625
1996.1006,29.527
1996.1008,28.679
1996.1010,29.607
1996.1012,28.806
1996.1014,28.691
1996.1016,29.472
1996.1018,28.661
1996.1020,29.616
1996.1022,28.83
1996.1024,28.621
1996.1026,29.475
1996.1028,28.605
1996.1030,29.661
1996.1032,28.745
1996.1034,28.569
1996.1036,29.454
1996.1038,28.677
1996.1040,29.582
1996.1042,28.764
1996.1044,28.669
1996.1046,29.529
1996.1048,28.677
1996.1050,29.668
1996.1052,28.815
1996.1054,28.641
1996.1056,29.486
1996.1058,28.653
1996.1060,29.574
1996.1062,28.708
1996.1064,28.692
1996.1066,29.487
1996.1068,28.602
1996.1070,29.625
1996.1072,28.849
1996.1074,28.641
1996.1076,29.462
1996.1078,28.688
1996.1080,29.65
1996.1082,28.795
1996.1084,28.698
1996.1086,29.55
1996.1088,28.653
1996.1090,29.648
1996.1092,28.884
1996.1094,28.608
1996.1096,29.418
1996.1098,28.653
1996.1100,29.595
1996.1102,28.677
1996.1104,28.656
1996.1106,29.466
1996.1108,28.698
1996.1110,29.683
1996.1112,28.774
1996.1114,28.685
1996.1116,29.454
1996.1118,28.672
1996.1120,29.685
1996.1122,28.754
1996.1124,28.64
1996.1126,29.508
1996.1128,28.712
1996.1130,29.759
1996.1132,28.766
1996.1134,28.624
1996.1136,29.511
1996.1138,28.591
1996.1140,29.585
1996.1142,28.848
1996.1144,28.659
1996.1146,29.494
1996.1148,28.722
1996.1150,29.704
1996.1152,28.744
1996.1154,28.529
1996.1156,29.457
1996.1158,28.616
1996.1160,29.814
1996.1162,28.706
1996.1164,28.627
1996.1166,29.455
1996.1168,28.585
1996.1170,29.704
1996.1172,28.716
1996.1174,28.653
1996.1176,29.454
1996.1178,28.608
1996.1180,29.705
1996.1182,28.689
1996.1184,28.62
1996.1186,29.505
1996.1188,28.71
1996.1190,29.709
1996.1192,28.743
1996.1194,28.704
1996.1196,29.499
1996.1198,28.635
1996.1200,29.748
1996.1202,28.7
1996.1204,28.7
1996.1206,29.505
1996.1208,28.617
1996.1210,29.754
1996.1212,28.736
1996.1214,28.62
1996.1216,29.466
1996.1218,28.67
1996.1220,29.761
1996.1222,28.668
1996.1224,28.603
1996.1226,29.481
1996.1228,28.598
1996.1230,29.702
1996.1232,28.659
1996.1234,28.694
1996.1236,29.57
1996.1238,28.647
1996.1240,29.8
1996.1242,28.713
1996.1244,28.668
1996.1246,29.535
1996.1248,28.645
1996.1250,29.686
1996.1252,28.654
1996.1254,28.701
1996.1256,29.507
1996.1258,28.643
1996.1260,29.806
1996.1262,28.746
1996.1264,28.581
1996.1266,29.593
1996.1268,28.744
1996.1270,29.711
1996.1272,28.649
1996.1274,28.632
1996.1276,29.496
1996.1278,28.662
1996.1280,29.764
1996.1282,28.752
1996.1284,28.656
1996.1286,29.49
1996.1288,28.697
1996.1290,29.74
1996.1292,28.608
1996.1294,28.656
1996.1296,29.498
1996.1298,28.562
1996.1300,29.769
1996.1302,28.69
1996.1304,28.655
1996.1306,29.494
1996.1308,28.635
1996.1310,29.703
1996.1312,28.781
1996.1314,28.642
1996.1316,29.59
1996.1318,28.71
1996.1320,29.768
1996.1322,28.787
1996.1324,28.662
1996.1326,29.499
1996.1328,28.612
1996.1330,29.81
1996.1332,28.72
1996.1334,28.66
1996.1336,29.431
1996.1338,28.695
1996.1340,29.747
1996.1342,28.753
1996.1344,28.661
1996.1346,29.516
1996.1348,28.626
1996.1350,29.707
